,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,minted_market_cap,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,12535,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19982656.0,19982656.0,False,1549128089050.71,,1,,,,2026-02-01T22:40:00.000Z,77523.6329470274,49840824653.536255,-26.9329,0.61951886,-0.70049694,-10.19839131,-14.02399368,-17.15082097,-27.09095191,1549128089050.7148,59.4834,1627996291887.58,,2026-02-01T22:40:00.000Z,,,,,,2026-02-01 19:42:39.030843
1,1027,Ethereum,ETH,ethereum,11497,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'abstract-chain-ecosystem', 'unichain-ecosystem', 'soneium-ecosystem', 'sophon-ecosystem']",,120693814.87947601,120693814.87947601,True,280603779352.42,,2,,,,2026-02-01T22:40:00.000Z,2324.922612087685,37872275814.10711,-17.6108,0.39288322,-3.68369234,-16.68375636,-25.74403351,-26.60105238,-35.17636187,280603779352.4189,10.7641,280603779352.42,,2026-02-01T22:40:00.000Z,,,,,,2026-02-01 19:42:39.030843
2,825,Tether USDt,USDT,tether,169464,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,185373050610.50174,189482994631.04517,True,189266722390.82,,3,,,,2026-02-01T22:40:00.000Z,0.9988586192621364,110538373160.46063,-24.4463,-0.03186774,-0.0085862,-0.02479277,-0.07927056,-0.13331575,-0.10909551,185161469381.21588,7.1098,189266722390.82,,2026-02-01T22:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2026-02-01 19:42:39.030843
3,1839,BNB,BNB,bnb,3117,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",136360008.15,136360007.27,136360007.27,False,103993632269.72,,4,,,,2026-02-01T22:41:00.000Z,762.6402663928018,2421627425.6597486,-24.1125,0.82833404,-1.44281541,-11.4169097,-13.6271099,-16.7441735,-22.71575167,103993632269.7172,3.9893,103993632940.84,,2026-02-01T22:41:00.000Z,,,,,,2026-02-01 19:42:39.030843
4,52,XRP,XRP,xrp,1791,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",100000000000.0,60853233336.0,99985724371.0,False,160751251220.18,,5,,,,2026-02-01T22:40:00.000Z,1.6077420274889167,3834133101.2531166,-36.4507,0.83256082,-0.02772177,-11.68957875,-20.24279316,-26.95946226,-29.80595475,97836300742.87677,3.7531,160774202748.89,,2026-02-01T22:40:00.000Z,,,,,,2026-02-01 19:42:39.030843
5,3408,USDC,USDC,usd-coin,37042,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'monad-ecosystem', 'xlayer-ecosystem']",,70303612625.83496,70303612625.83496,False,70276987838.06,,6,60901219650.23,60878155656.96148,,2026-02-01T22:40:00.000Z,0.999621288483203,12697262011.876595,-30.3188,-0.01269782,-0.01817756,-0.00501572,-0.02843299,-0.02426156,-0.06149568,70276987838.06113,2.6959,70276987838.06,,2026-02-01T22:40:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2026-02-01 19:42:39.030843
6,5426,Solana,SOL,solana,1082,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,566308177.374097,619447463.1394541,True,63250836411.39,,7,525236893.3,53631138703.79519,,2026-02-01T22:41:00.000Z,102.1084759808802,5125298971.090216,-44.5314,0.82066103,-1.58314802,-13.7101011,-23.02918583,-29.08989468,-38.15092838,57824864927.17902,2.2182,63250836411.39,,2026-02-01T22:41:00.000Z,,,,,,2026-02-01 19:42:39.030843
7,1958,TRON,TRX,tron,1289,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,94718062588.84137,94718051457.41327,True,26985863931.99,,8,94667886298.43,26971571512.188446,,2026-02-01T22:41:00.000Z,0.28490729609366755,681645774.959716,-22.9037,0.06090992,-0.20288359,-3.35463685,-1.01201936,1.55939751,1.04737327,26985867103.417564,1.0352,26985863931.99,,2026-02-01T22:41:00.000Z,,,,,,2026-02-01 19:42:39.030843
8,74,Dogecoin,DOGE,dogecoin,1388,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'doge-chain-ecosystem', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,168564773126.57913,168564773126.57913,True,17702135016.58,,9,,,,2026-02-01T22:40:00.000Z,0.10501681156883703,1364391575.508927,-46.8218,0.78117419,2.96128899,-11.62616473,-26.80167283,-30.95594398,-36.51162703,17702135016.577724,0.6791,17702135016.58,,2026-02-01T22:40:00.000Z,,,,,,2026-02-01 19:42:39.030843
9,1831,Bitcoin Cash,BCH,bitcoin-cash,1130,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'layer-1', '2017-2018-alt-season', 'made-in-america', 'binance-ecosystem', 'binance-listing']",21000000.0,19988915.625,19988915.625,False,10465168341.51,,10,,,,2026-02-01T22:40:00.000Z,523.5485775135393,601768077.2243286,9.0533,1.05170593,6.8775207,-7.77747805,-13.41954639,-12.53173471,3.84899391,10465168341.506908,0.4015,10994520127.78,,2026-02-01T22:40:00.000Z,,,,,,2026-02-01 19:42:39.030843
